"Hugo_Symbol","n_mutated","freq"
"OR5L1",1,0.0263157894736842
"PADI3",1,0.0263157894736842
"PCDH1",1,0.0263157894736842
"PCDH15",1,0.0263157894736842
"PCDHA3",1,0.0263157894736842
"PCDHGB5",1,0.0263157894736842
"PGK2",1,0.0263157894736842
"PHF5A",1,0.0263157894736842
"PIKFYVE",1,0.0263157894736842
"PIP5K1B",1,0.0263157894736842
"PLEKHS1",1,0.0263157894736842
"PLXNA4",1,0.0263157894736842
"POLR3C",1,0.0263157894736842
"PPFIBP1",1,0.0263157894736842
"PPP1CC",1,0.0263157894736842
"PTPRD",1,0.0263157894736842
"RAB11FIP1",1,0.0263157894736842
"RAD50",1,0.0263157894736842
"RAET1G",1,0.0263157894736842
"RAET1L",1,0.0263157894736842
"RALGPS2",1,0.0263157894736842
"RBM10",1,0.0263157894736842
"RNF115",1,0.0263157894736842
"RNF208",1,0.0263157894736842
"RNF8",1,0.0263157894736842
"RNPC3",1,0.0263157894736842
"RTCB",1,0.0263157894736842
"RUSC2",1,0.0263157894736842
"RYR2",1,0.0263157894736842
"SCAMP4",1,0.0263157894736842
"SCG2",1,0.0263157894736842
"SCN11A",1,0.0263157894736842
"SCN7A",1,0.0263157894736842
"SERINC2",1,0.0263157894736842
"SH2D2A",1,0.0263157894736842
"SHROOM2",1,0.0263157894736842
"SLC1A7",1,0.0263157894736842
"SLC25A44",1,0.0263157894736842
"SLC27A5",1,0.0263157894736842
"SLC2A12",1,0.0263157894736842
"SLC38A5",1,0.0263157894736842
"SMC1A",1,0.0263157894736842
"SMC4",1,0.0263157894736842
"SMCO1",1,0.0263157894736842
"SNX24",1,0.0263157894736842
"SON",1,0.0263157894736842
"SRL",1,0.0263157894736842
"SRRM5",1,0.0263157894736842
"STAU1",1,0.0263157894736842
"STK11IP",1,0.0263157894736842
"SUGCT",1,0.0263157894736842
"SUN3",1,0.0263157894736842
"SYNC",1,0.0263157894736842
"SYNJ2",1,0.0263157894736842
"TDRD5",1,0.0263157894736842
"TFPI",1,0.0263157894736842
"THAP11",1,0.0263157894736842
"TIMM8B",1,0.0263157894736842
"TLL1",1,0.0263157894736842
"TMEM104",1,0.0263157894736842
"TMEM116",1,0.0263157894736842
"TNFAIP3",1,0.0263157894736842
"TNNI2",1,0.0263157894736842
"TNS3",1,0.0263157894736842
"TOGARAM2",1,0.0263157894736842
"TRIB1",1,0.0263157894736842
"TRIM6-TRIM34",1,0.0263157894736842
"TSC2",1,0.0263157894736842
"TSTD2",1,0.0263157894736842
"TTC27",1,0.0263157894736842
"TTC3",1,0.0263157894736842
"TYR",1,0.0263157894736842
"UBA2",1,0.0263157894736842
"USP49",1,0.0263157894736842
"VPS13B",1,0.0263157894736842
"WDR70",1,0.0263157894736842
"WDR90",1,0.0263157894736842
"XPO5",1,0.0263157894736842
"ZC3H18",1,0.0263157894736842
"ZFP82",1,0.0263157894736842
"ZKSCAN3",1,0.0263157894736842
"ZKSCAN4",1,0.0263157894736842
"ZMYM4",1,0.0263157894736842
"ZNF282",1,0.0263157894736842
"ZNF469",1,0.0263157894736842
"ZNF678",1,0.0263157894736842
"ZNF711",1,0.0263157894736842
"ZNF746",1,0.0263157894736842
"ZNF750",1,0.0263157894736842
"ZNF814",1,0.0263157894736842
"ZNF837",1,0.0263157894736842
"ZNF91",1,0.0263157894736842
"ZYG11A",1,0.0263157894736842
